crop,model,n_test_base,MAE_base,RMSE_base,MAPE_percent_base,R2_base,n_test_weather,MAE_weather,RMSE_weather,MAPE_percent_weather,R2_weather,MAE_delta,RMSE_delta,MAPE_percent_delta,R2_delta,RMSE_improvement_percent,MAPE_improvement_percent
bok_choy,ridge,1543,2.661288603776262,4.147425853487526,10.426713847764274,0.9189192480140256,1543,2.4784827327093377,3.89548400210958,9.91402890594031,0.9284708017732912,-0.18280587106692447,-0.25194185137794634,-0.5126849418239647,0.00955155375926564,6.074655949933164,4.917032818867433
bok_choy,xgboost,1543,2.262870314283159,3.9582972847341473,8.326554986722147,0.9261454385488386,1543,2.303385869325322,4.1502722560537215,8.370089280950161,0.918807917437224,0.040515555042162976,0.1919749713195742,0.04353429422801369,-0.0073375211116145644,-4.849938180741467,-0.5228368070280589
bok_choy,lightgbm,1543,2.2622843518759046,3.999579073841728,8.199555787960183,0.9245969207381148,1543,2.333940703532932,4.179120242020944,8.445505037335241,0.9176752841206596,0.07165635165702744,0.17954116817921584,0.2459492493750588,-0.006921636617455262,-4.4890015890287325,-2.999543581814497
bok_choy,naive_lag1,1543,2.7162588774878107,4.27984525670963,10.086054185086082,0.9136590862662868,1543,2.7162588774878107,4.27984525670963,10.086054185086082,0.9136590862662868,0.0,0.0,0.0,0.0,0.0,0.0
bok_choy,random_forest,1543,2.580474239533759,4.462595100045283,9.421316909168205,0.9061281287403125,1543,2.6425998008151987,4.632567265125586,9.627457007408582,0.8988411287387881,0.062125561281439534,0.16997216508030366,0.20614009824037716,-0.00728700000152438,-3.808818888332014,-2.188017877201171
bok_choy,moving_average_7,1543,4.956488909886788,7.906262787540883,17.945342627377894,0.7053523393723812,1543,4.956488909886788,7.906262787540883,17.945342627377894,0.7053523393723812,0.0,0.0,0.0,0.0,0.0,0.0
bok_choy,moving_average_14,1543,6.603855430419514,10.189539935648323,24.812602981192686,0.510593584261626,1543,6.603855430419514,10.189539935648323,24.81260298119269,0.510593584261626,0.0,0.0,3.552713678800501e-15,0.0,0.0,-1.4318182100819357e-14
bok_choy,seasonal_naive_lag7,1543,7.779378263048864,12.473919455682454,28.3281818019935,0.2665569835905482,1543,7.779378263048864,12.473919455682454,28.32818180199351,0.2665569835905482,0.0,0.0,7.105427357601002e-15,0.0,0.0,-2.5082539385217377e-14
bok_choy,sarima_weekly,1543,17.40297163304515,22.958882664599106,60.78881111885362,-1.4846315968542632,1543,17.402627680307756,22.958591696723985,60.78705676614335,-1.4845686196261787,-0.00034395273739562526,-0.00029096787512017386,-0.0017543527102716894,6.297722808445982e-05,0.001267343360610596,0.0028859796366828066
cabbage,xgboost,1548,1.415772058465922,2.1090203746087552,7.525232619583977,0.9537641430739464,1548,1.451198711592456,2.189483200422296,7.68256587799897,0.9501688861325706,0.03542665312653415,0.08046282581354092,0.1573332584149929,-0.0035952569413758573,-3.815175366831987,-2.0907427898712703
cabbage,lightgbm,1548,1.425968744374839,2.116837214576541,7.588521562070455,0.9534207722120368,1548,1.4704143345296596,2.2332537283750806,7.71254751774009,0.9481565975960704,0.044445590154820636,0.11641651379853979,0.12402595566963459,-0.005264174615966399,-5.49954965818324,-1.6343889208874478
cabbage,random_forest,1548,1.454726088888892,2.1592493518660034,7.841342005973821,0.9515355870725358,1548,1.5014716268781356,2.2527325718226927,8.011455895316647,0.947248278445834,0.046745537989243635,0.09348321995668929,0.17011388934282667,-0.004287308626701791,-4.329431423744643,-2.1694486634204666
cabbage,ridge,1548,1.612311606146521,2.324796378577453,9.151849697958038,0.9438192928558444,1548,1.6157968047979212,2.3266178481015984,9.27334221803376,0.9437312236081378,0.0034851986514001787,0.0018214695241454137,0.12149252007572109,-8.806924770665692e-05,-0.0783496370232637,-1.3275187430452284
cabbage,naive_lag1,1548,1.6003209139775278,2.5495013100161383,8.506138864152465,0.9324340574807072,1548,1.6003209139775278,2.549501310016138,8.506138864152465,0.9324340574807072,0.0,-4.440892098500626e-16,0.0,0.0,1.7418669608263567e-14,0.0
cabbage,moving_average_7,1548,2.156220708301146,3.142270154810777,11.090380666583638,0.8973628931671974,1548,2.156220708301146,3.142270154810777,11.090380666583636,0.8973628931671974,0.0,0.0,-1.7763568394002505e-15,0.0,0.0,1.6017095290088474e-14
cabbage,moving_average_14,1548,2.8454400134917868,3.974596610004899,14.672425133139292,0.8357885348449435,1548,2.8454400134917868,3.974596610004899,14.672425133139294,0.8357885348449435,0.0,0.0,1.7763568394002505e-15,0.0,0.0,-1.210677051190503e-14
cabbage,seasonal_naive_lag7,1548,3.242002517414565,4.6141235629000485,16.675068646722025,0.7786926685995662,1548,3.242002517414565,4.6141235629000485,16.675068646722025,0.7786926685995662,0.0,0.0,0.0,0.0,0.0,0.0
cabbage,prophet,1548,7.695094825941574,9.355625857655497,60.24745564049039,0.0901641367043487,1548,7.575525746443707,9.18804858659426,59.04629262586396,0.1224660515876243,-0.11956907949786721,-0.1675772710612371,-1.2011630146264238,0.032301914883275606,1.791192525341449,1.9937157542287323
cabbage,sarima_weekly,1548,15.028237323942031,18.117639293067832,69.32699183552545,-2.4120907893469976,1548,15.028237477112684,18.117639425124548,69.32699286386024,-2.41209083908742,1.5317065304998323e-07,1.320567157847563e-07,1.0283347933182085e-06,-4.974042244754173e-08,-7.288847826619653e-07,-1.4833108520817944e-06
cauliflower,lightgbm,1548,3.4997496834311024,5.861583219433612,9.038867646228557,0.845310571350943,1548,3.5780230797296952,6.050310071725865,9.246948069548752,0.8351890625818409,0.07827339629859287,0.18872685229225272,0.2080804233201956,-0.010121508769102117,-3.2197248631827637,-2.3020629515138062
cauliflower,xgboost,1548,3.4573313077617893,5.775589483129682,8.90667953148804,0.8498160928182348,1548,3.587970293311461,6.055911577655251,9.213395537149928,0.8348837503626486,0.13063898554967146,0.28032209452556867,0.3067160056618885,-0.014932342455586167,-4.853566815030411,-3.443662754200896
cauliflower,ridge,1548,4.012810737529868,6.6221275588943165,10.611878018330644,0.8025642248655267,1548,3.92789829648086,6.4938207198109215,10.586631413470874,0.8101409279125582,-0.08491244104900808,-0.12830683908339502,-0.025246604859770372,0.007576703047031508,1.9375470789756,0.23790892447274775
cauliflower,moving_average_7,1548,4.802751972103474,7.121297710057762,13.770767689230953,0.7716773222944303,1548,4.802751972103474,7.121297710057762,13.770767689230953,0.7716773222944303,0.0,0.0,0.0,0.0,0.0,0.0
cauliflower,random_forest,1548,3.9919077989759297,6.977037233327278,10.246953864233909,0.7808341691769936,1548,4.081716079909957,7.199176891077872,10.406379037617617,0.7666560988016977,0.08980828093402726,0.22213965775059474,0.15942517338370799,-0.014178070375295837,-3.1838680276708025,-1.5558299129282462
cauliflower,moving_average_14,1548,5.711977058929363,8.135098713211136,16.65835699306141,0.7020410609600645,1548,5.711977058929363,8.135098713211136,16.65835699306141,0.7020410609600645,0.0,0.0,0.0,0.0,0.0,0.0
cauliflower,naive_lag1,1548,4.964964166236339,8.414737136273638,13.262501335597232,0.6812047274668065,1548,4.964964166236339,8.414737136273638,13.262501335597232,0.6812047274668065,0.0,0.0,0.0,0.0,0.0,0.0
cauliflower,seasonal_naive_lag7,1548,6.636086043792379,9.281510794192965,19.13313974490972,0.6121461443842349,1548,6.636086043792379,9.281510794192965,19.13313974490972,0.6121461443842349,0.0,0.0,0.0,0.0,0.0,0.0
cauliflower,sarima_weekly,1548,11.5175968162656,15.421888460907226,33.57658839770025,-0.0707938801639511,1548,11.517596643309634,15.421887932967634,33.57659001109699,-0.0707938068506892,-1.7295596599353757e-07,-5.279395924873143e-07,1.6133967406517513e-06,7.331326190573861e-08,3.423313518481102e-06,-4.805124098796938e-06
green_onion,ridge,1587,6.174752748205001,10.712806609132386,8.343016464511287,0.956461238999662,1587,6.229989861144648,10.63950233988545,8.53457225874573,0.9570550437252664,0.05523711293964695,-0.07330426924693612,0.1915557942344428,0.000593804725604441,0.6842676426590782,-2.296001632614106
green_onion,naive_lag1,1587,6.387402464964622,11.182957654613032,8.303807605518623,0.9525558252499872,1587,6.387402464964622,11.182957654613032,8.303807605518623,0.9525558252499872,0.0,0.0,0.0,0.0,0.0,0.0
green_onion,moving_average_7,1587,7.487731301494006,13.954339937601503,9.320978167506151,0.926126592294845,1587,7.487731301494006,13.954339937601503,9.320978167506151,0.926126592294845,0.0,0.0,0.0,0.0,0.0,0.0
green_onion,random_forest,1587,6.539130553962131,13.695895804393247,7.603674222411147,0.9288376268450864,1587,6.509250570062762,14.290539424330948,7.374305527390964,0.9225240730768998,-0.0298799838993693,0.5946436199377008,-0.22936869502018276,-0.006313553768186653,-4.341765069116226,3.0165507925647197
green_onion,lightgbm,1587,6.65318243117466,14.247282992184369,7.760642421182516,0.9229923913056508,1587,6.792798839149646,14.75466900613279,7.839488092488383,0.9174098074253394,0.13961640797498642,0.5073860139484214,0.07884567130586717,-0.005582583880311409,-3.561282626496281,-1.0159683570867728
green_onion,xgboost,1587,6.567435888165459,13.833314370847615,7.803145253646619,0.927402439153205,1587,7.046537486311371,15.124863171397346,8.23322638757864,0.913213445876362,0.47910159814591147,1.2915488005497302,0.4300811339320205,-0.014188993276842976,-9.336510151692536,-5.511638191420723
green_onion,moving_average_14,1587,9.589568450334363,17.145277816866045,12.0226564408819,0.8884785032783115,1587,9.589568450334363,17.145277816866045,12.0226564408819,0.8884785032783115,0.0,0.0,0.0,0.0,0.0,0.0
green_onion,seasonal_naive_lag7,1587,10.866650696274323,20.615151998503947,12.979599796693424,0.8387712011219247,1587,10.866650696274323,20.615151998503947,12.979599796693424,0.8387712011219247,0.0,0.0,0.0,0.0,0.0,0.0
green_onion,sarima_weekly,1587,312.7940641479638,324.02104331201906,643.5361198576771,-38.83051925603706,1587,312.7940642452804,324.0210434127116,643.5361200415183,-38.83051928079246,9.731661521072965e-08,1.0069254585687304e-07,1.8384116629022174e-07,-2.475540128443754e-08,-3.1075927917406965e-08,-2.8567342316524457e-08
lettuce,ridge,1586,3.8200947808391423,5.444366305246096,11.256814849540008,0.9113090693979866,1586,3.800539725641237,5.336853458710699,11.28011470573073,0.9147773385732412,-0.019555055197905347,-0.10751284653539717,0.023299856190721613,0.003468269175254557,1.9747540945545796,-0.20698444899512336
lettuce,xgboost,1586,3.53161230830559,5.518044564237735,9.47929494907398,0.9088923291927844,1586,3.5165188645635888,5.513333871302543,9.427618682076426,0.9090478179943062,-0.015093443742001167,-0.004710692935192107,-0.051676266997553455,0.0001554888015218303,0.08536888168178183,0.5451488457229791
lettuce,lightgbm,1586,3.570595326177169,5.542820584654809,9.569459030040614,0.908072345558446,1586,3.6026533171644606,5.543231191689247,9.72988448086865,0.9080587252223388,0.032057990987291785,0.00041060703443829283,0.16042545082803628,-1.3620336107189601e-05,-0.007407907727972477,-1.676431764057152
lettuce,random_forest,1586,3.9921702363078433,6.05345438566617,10.874397023012436,0.8903544310921413,1586,3.9660506903150528,6.018519121022231,10.804950163103454,0.8916163366349629,-0.026119545992790538,-0.0349352646439387,-0.06944685990898236,0.001261905542821573,0.577112875033156,0.6386272246821473
lettuce,naive_lag1,1586,4.098073596769027,6.085262799254845,12.111421641043174,0.8891991189451507,1586,4.098073596769027,6.085262799254845,12.111421641043174,0.8891991189451507,0.0,0.0,0.0,0.0,0.0,0.0
lettuce,moving_average_7,1586,4.983733260937735,7.067764247614786,14.5685400880815,0.8505318544397446,1586,4.983733260937735,7.067764247614786,14.568540088081502,0.8505318544397446,0.0,0.0,1.7763568394002505e-15,0.0,0.0,-1.2193101221264342e-14
lettuce,moving_average_14,1586,6.333147417386293,8.935409961975624,18.483511481828973,0.7611014560592226,1586,6.333147417386293,8.935409961975624,18.483511481828973,0.7611014560592226,0.0,0.0,0.0,0.0,0.0,0.0
lettuce,seasonal_naive_lag7,1586,6.972658899133941,10.30715174161347,19.84714566914785,0.682120972032072,1586,6.972658899133941,10.30715174161347,19.84714566914785,0.682120972032072,0.0,0.0,0.0,0.0,0.0,0.0
lettuce,sarima_weekly,1586,36.03505110634424,39.3205664826035,157.34845938510878,-3.626196426270069,1586,36.03505111110434,39.32056648743404,157.34845940432533,-3.626196427406729,4.7600963171134936e-09,4.83053952393675e-09,1.9216543023503618e-08,-1.1366596552875308e-09,-1.2285020171502141e-08,-1.2212730330248308e-08
